National Dex Number,Pokemon Name,Pokemon Pic URL,Pokemon Types,Abilities,"Base Stats (HP, Atk, Def, SpA, SpD, Speed)"
#0822,Corvisquire,https://www.serebii.net/pokedex-sv/icon/new/822.png,['https://www.serebii.net/pokedex-bw/type/flying.gif'],"['Keen Eye', 'Unnerve', 'Big Pecks']","['68', '67', '55', '43', '55', '77']"
#0823,Corviknight,https://www.serebii.net/pokedex-sv/icon/new/823.png,"['https://www.serebii.net/pokedex-bw/type/flying.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Pressure', 'Unnerve', 'Mirror Armor']","['98', '87', '105', '53', '85', '67']"
#0824,Blipbug,https://www.serebii.net/pokedex-sv/icon/new/824.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Swarm', 'Compoundeyes', 'Telepathy']","['25', '20', '20', '25', '45', '45']"
#0825,Dottler,https://www.serebii.net/pokedex-sv/icon/new/825.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Swarm', 'Compoundeyes', 'Telepathy']","['50', '35', '80', '50', '90', '30']"
#0826,Orbeetle,https://www.serebii.net/pokedex-sv/icon/new/826.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Swarm', 'Frisk', 'Telepathy']","['60', '45', '110', '80', '120', '90']"
#0827,Nickit,https://www.serebii.net/pokedex-sv/icon/new/827.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],"['Run Away', 'Unburden', 'Stakeout']","['40', '28', '28', '47', '52', '50']"
#0828,Thievul,https://www.serebii.net/pokedex-sv/icon/new/828.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],"['Run Away', 'Unburden', 'Stakeout']","['70', '58', '58', '87', '92', '90']"
#0829,Gossifleur,https://www.serebii.net/pokedex-sv/icon/new/829.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Cotton Down', 'Regenerator', 'Effect Spore']","['40', '40', '60', '40', '60', '10']"
#0830,Eldegoss,https://www.serebii.net/pokedex-sv/icon/new/830.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Cotton Down', 'Regenerator', 'Effect Spore']","['60', '50', '90', '80', '120', '60']"
#0831,Wooloo,https://www.serebii.net/pokedex-sv/icon/new/831.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Fluffy', 'Run Away', 'Bulletproof']","['42', '40', '55', '40', '45', '48']"
#0832,Dubwool,https://www.serebii.net/pokedex-sv/icon/new/832.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Fluffy', 'Steadfast', 'Bulletproof']","['72', '80', '100', '60', '90', '88']"
#0833,Chewtle,https://www.serebii.net/pokedex-sv/icon/new/833.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Strong Jaw', 'Shell Armor', 'Swift Swim']","['50', '64', '50', '38', '38', '44']"
#0834,Drednaw,https://www.serebii.net/pokedex-sv/icon/new/834.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Strong Jaw', 'Shell Armor', 'Swift Swim']","['90', '115', '90', '48', '68', '74']"
#0835,Yamper,https://www.serebii.net/pokedex-sv/icon/new/835.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Ball Fetch', 'Rattled']","['59', '45', '50', '40', '50', '26']"
#0836,Boltund,https://www.serebii.net/pokedex-sv/icon/new/836.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Strong Jaw', 'Competitive']","['69', '90', '60', '90', '60', '121']"
#0837,Rolycoly,https://www.serebii.net/pokedex-sv/icon/new/837.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],"['Steam Engine', 'Heatproof', 'Flash Fire']","['30', '40', '50', '40', '50', '30']"
#0838,Carkol,https://www.serebii.net/pokedex-sv/icon/new/838.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Steam Engine', 'Flame Body', 'Flash Fire']","['80', '60', '90', '60', '70', '50']"
#0839,Coalossal,https://www.serebii.net/pokedex-sv/icon/new/839.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Steam Engine', 'Flame Body', 'Flash Fire']","['110', '80', '120', '80', '90', '30']"
#0840,Applin,https://www.serebii.net/pokedex-sv/icon/new/840.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Ripen', 'Gluttony', 'Bulletproof']","['40', '40', '80', '40', '40', '20']"
#0841,Flapple,https://www.serebii.net/pokedex-sv/icon/new/841.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Ripen', 'Gluttony', 'Hustle']","['70', '110', '80', '95', '60', '70']"
#0842,Appletun,https://www.serebii.net/pokedex-sv/icon/new/842.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Ripen', 'Gluttony', 'Thick Fat']","['110', '85', '80', '100', '80', '30']"
#0843,Silicobra,https://www.serebii.net/pokedex-sv/icon/new/843.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Spit', 'Shed Skin', 'Sand Veil']","['52', '57', '75', '35', '50', '46']"
#0844,Sandaconda,https://www.serebii.net/pokedex-sv/icon/new/844.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Spit', 'Shed Skin', 'Sand Veil']","['72', '107', '125', '65', '70', '71']"
#0845,Cramorant,https://www.serebii.net/pokedex-sv/icon/new/845.png,"['https://www.serebii.net/pokedex-bw/type/flying.gif', 'https://www.serebii.net/pokedex-bw/type/water.gif']",['Gulp Missile'],"['70', '85', '55', '85', '95', '85']"
#0846,Arrokuda,https://www.serebii.net/pokedex-sv/icon/new/846.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Swift Swim', 'Propeller Tail']","['41', '63', '40', '40', '30', '66']"
#0847,Barraskewda,https://www.serebii.net/pokedex-sv/icon/new/847.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Swift Swim', 'Propeller Tail']","['61', '123', '60', '60', '50', '136']"
#0848,Toxel,https://www.serebii.net/pokedex-sv/icon/new/848.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Rattled', 'Static', 'Klutz']","['40', '38', '35', '54', '35', '40']"
#0849,Toxtricity,https://www.serebii.net/pokedex-sv/icon/new/849.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Punk Rock', 'Plus', 'Technician']","['75', '98', '70', '114', '70', '75']"
#0850,Sizzlipede,https://www.serebii.net/pokedex-sv/icon/new/850.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Flash Fire', 'White Smoke', 'Flame Body']","['50', '65', '45', '50', '50', '45']"
#0851,Centiskorch,https://www.serebii.net/pokedex-sv/icon/new/851.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Flash Fire', 'White Smoke', 'Flame Body']","['100', '115', '65', '90', '90', '65']"
#0852,Clobbopus,https://www.serebii.net/pokedex-sv/icon/new/852.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Limber', 'Technician']","['50', '68', '60', '50', '50', '32']"
#0853,Grapploct,https://www.serebii.net/pokedex-sv/icon/new/853.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Limber', 'Technician']","['80', '118', '90', '70', '80', '42']"
#0854,Sinistea,https://www.serebii.net/pokedex-sv/icon/new/854.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Weak Armor', 'Cursed Body']","['40', '45', '45', '74', '54', '50']"
#0855,Polteageist,https://www.serebii.net/pokedex-sv/icon/new/855.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Weak Armor', 'Cursed Body']","['60', '65', '65', '134', '114', '70']"
#0856,Hatenna,https://www.serebii.net/pokedex-sv/icon/new/856.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Healer', 'Anticipation', 'Magic Bounce']","['42', '30', '45', '56', '53', '39']"
#0857,Hattrem,https://www.serebii.net/pokedex-sv/icon/new/857.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Healer', 'Anticipation', 'Magic Bounce']","['57', '40', '65', '86', '73', '49']"
#0858,Hatterene,https://www.serebii.net/pokedex-sv/icon/new/858.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Healer', 'Anticipation', 'Magic Bounce']","['57', '90', '95', '136', '103', '29']"
#0859,Impidimp,https://www.serebii.net/pokedex-sv/icon/new/859.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Prankster', 'Frisk', 'Pickpocket']","['45', '45', '30', '55', '40', '50']"
#0860,Morgrem,https://www.serebii.net/pokedex-sv/icon/new/860.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Prankster', 'Frisk', 'Pickpocket']","['65', '60', '45', '75', '55', '70']"
#0861,Grimmsnarl,https://www.serebii.net/pokedex-sv/icon/new/861.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Prankster', 'Frisk', 'Pickpocket']","['95', '120', '65', '95', '75', '60']"
#0862,Obstagoon,https://www.serebii.net/pokedex-sv/icon/new/862.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Reckless', 'Guts', 'Defiant']","['93', '90', '101', '60', '81', '95']"
#0863,Perrserker,https://www.serebii.net/pokedex-sv/icon/new/863.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Battle Armor', 'Tough Claws', 'Steely Spirit']","['70', '110', '100', '50', '60', '50']"
#0864,Cursola,https://www.serebii.net/pokedex-sv/icon/new/864.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Weak Armor', 'Perish Body']","['60', '95', '50', '145', '130', '30']"
#0865,Sirfetch'd,https://www.serebii.net/pokedex-sv/icon/new/865.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Steadfast', 'Scrappy']","['62', '135', '95', '68', '82', '65']"
#0866,Mr. Rime,https://www.serebii.net/pokedex-sv/icon/new/866.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Tangled Feet', 'Screen Cleaner', 'Ice Body']","['80', '85', '75', '110', '100', '70']"
#0867,Runerigus,https://www.serebii.net/pokedex-sv/icon/new/867.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']",['Wandering Spirit'],"['58', '95', '145', '50', '105', '30']"
#0868,Milcery,https://www.serebii.net/pokedex-sv/icon/new/868.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Sweet Veil', 'Aroma Veil']","['45', '40', '40', '50', '61', '34']"
#0869,Alcremie,https://www.serebii.net/pokedex-sv/icon/new/869.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Sweet Veil', 'Aroma Veil']","['65', '60', '75', '110', '121', '64']"
#0870,Falinks,https://www.serebii.net/pokedex-sv/icon/new/870.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Battle Armor', 'Defiant']","['65', '100', '100', '70', '60', '75']"
#0871,Pincurchin,https://www.serebii.net/pokedex-sv/icon/new/871.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Lightning Rod', 'Electric Surge']","['48', '101', '95', '91', '85', '15']"
#0872,Snom,https://www.serebii.net/pokedex-sv/icon/new/872.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Shield Dust', 'Ice Scales']","['30', '25', '35', '45', '30', '20']"
#0873,Frosmoth,https://www.serebii.net/pokedex-sv/icon/new/873.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Shield Dust', 'Ice Scales']","['70', '65', '60', '125', '90', '65']"
#0874,Stonjourner,https://www.serebii.net/pokedex-sv/icon/new/874.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],['Power Spot'],"['100', '125', '135', '20', '20', '70']"
#0875,Eiscue,https://www.serebii.net/pokedex-sv/icon/new/875.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],['Ice Face'],"['75', '80', '110', '65', '90', '50']"
#0876,Indeedee,https://www.serebii.net/pokedex-sv/icon/new/876.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Inner Focus', 'Synchronize', 'Psychic Surge']","['60', '65', '55', '105', '95', '95']"
#0877,Morpeko,https://www.serebii.net/pokedex-sv/icon/new/877.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']",['Hunger Switch'],"['58', '95', '58', '70', '58', '97']"
#0878,Cufant,https://www.serebii.net/pokedex-sv/icon/new/878.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Sheer Force', 'Heavy Metal']","['72', '80', '49', '40', '49', '40']"
#0879,Copperajah,https://www.serebii.net/pokedex-sv/icon/new/879.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Sheer Force', 'Heavy Metal']","['122', '130', '69', '80', '69', '30']"
#0880,Dracozolt,https://www.serebii.net/pokedex-sv/icon/new/880.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Volt Absorb', 'Hustle', 'Sand Rush']","['90', '100', '90', '80', '70', '75']"
#0881,Arctozolt,https://www.serebii.net/pokedex-sv/icon/new/881.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/ice.gif']","['Volt Absorb', 'Static', 'Slush Rush']","['90', '100', '90', '90', '80', '55']"
#0882,Dracovish,https://www.serebii.net/pokedex-sv/icon/new/882.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Water Absorb', 'Strong Jaw', 'Sand Rush']","['90', '90', '100', '70', '80', '75']"
#0883,Arctovish,https://www.serebii.net/pokedex-sv/icon/new/883.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ice.gif']","['Water Absorb', 'Ice Body', 'Slush Rush']","['90', '90', '100', '80', '90', '55']"
#0884,Duraludon,https://www.serebii.net/pokedex-sv/icon/new/884.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']","['Light Metal', 'Heavy Metal', 'Stalwart']","['70', '95', '115', '120', '50', '85']"
#0885,Dreepy,https://www.serebii.net/pokedex-sv/icon/new/885.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Clear Body', 'Infiltrator', 'Cursed Body']","['28', '60', '30', '40', '30', '82']"
#0886,Drakloak,https://www.serebii.net/pokedex-sv/icon/new/886.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Clear Body', 'Infiltrator', 'Cursed Body']","['68', '80', '50', '60', '50', '102']"
#0887,Dragapult,https://www.serebii.net/pokedex-sv/icon/new/887.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Clear Body', 'Infiltrator', 'Cursed Body']","['88', '120', '75', '100', '75', '142']"
#0888,Zacian,https://www.serebii.net/pokedex-sv/icon/new/888.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],['Intrepid Sword'],"['92', '120', '115', '80', '115', '138']"
#0889,Zamazenta,https://www.serebii.net/pokedex-sv/icon/new/889.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],['Dauntless Shield'],"['92', '120', '115', '80', '115', '138']"
#0890,Eternatus,https://www.serebii.net/pokedex-sv/icon/new/890.png,"['https://www.serebii.net/pokedex-bw/type/poison.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Pressure'],"['140', '85', '95', '145', '95', '130']"
#0891,Kubfu,https://www.serebii.net/pokedex-sv/icon/new/891.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],['Inner Focus'],"['60', '90', '60', '53', '50', '72']"
#0892,Urshifu,https://www.serebii.net/pokedex-sv/icon/new/892.png,"['https://www.serebii.net/pokedex-bw/type/fighting.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']",['Unseen Fist'],"['100', '130', '100', '63', '60', '97']"
#0893,Zarude,https://www.serebii.net/pokedex-sv/icon/new/893.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']",['Leaf Guard'],"['105', '120', '105', '70', '95', '105']"
#0894,Regieleki,https://www.serebii.net/pokedex-sv/icon/new/894.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],['Transistor'],"['80', '100', '50', '100', '50', '200']"
#0895,Regidrago,https://www.serebii.net/pokedex-sv/icon/new/895.png,['https://www.serebii.net/pokedex-bw/type/dragon.gif'],"[""Dragon's Maw""]","['200', '100', '50', '100', '50', '80']"
#0896,Glastrier,https://www.serebii.net/pokedex-sv/icon/new/896.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],['Chilling Neigh'],"['100', '145', '130', '65', '110', '30']"
#0897,Spectrier,https://www.serebii.net/pokedex-sv/icon/new/897.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],['Grim Neigh'],"['100', '65', '60', '145', '80', '130']"
#0898,Calyrex,https://www.serebii.net/pokedex-sv/icon/new/898.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']",['Unnerve'],"['100', '80', '80', '80', '80', '80']"
#0899,Wyrdeer,https://www.serebii.net/pokedex-sv/icon/new/899.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Intimidate', 'Frisk', 'Sap Sipper']","['103', '105', '72', '105', '75', '65']"
#0900,Kleavor,https://www.serebii.net/pokedex-sv/icon/new/900.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Swarm', 'Sheer Force', 'Sharpness']","['70', '135', '95', '45', '70', '85']"
#0901,Ursaluna,https://www.serebii.net/pokedex-sv/icon/new/901.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Guts', 'Bulletproof', 'Unnerve']","['130', '140', '105', '45', '80', '50']"
#0902,Basculegion,https://www.serebii.net/pokedex-sv/icon/new/902.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Swift Swim', 'Adaptability', 'Mold Breaker']","['120', '112', '65', '80', '75', '78']"
#0903,Sneasler,https://www.serebii.net/pokedex-sv/icon/new/903.png,"['https://www.serebii.net/pokedex-bw/type/fighting.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Pressure', 'Unburden', 'Poison Touch']","['80', '130', '60', '40', '80', '120']"
#0904,Overqwil,https://www.serebii.net/pokedex-sv/icon/new/904.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Poison Point', 'Swift Swim', 'Intimidate']","['85', '115', '95', '65', '65', '85']"
#0905,Enamorus,https://www.serebii.net/pokedex-sv/icon/new/905.png,"['https://www.serebii.net/pokedex-bw/type/fairy.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Cute Charm', 'Contrary']","['74', '115', '70', '135', '80', '106']"
#0906,Sprigatito,https://www.serebii.net/pokedex-sv/icon/new/906.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Protean']","['40', '61', '54', '45', '45', '65']"
#0907,Floragato,https://www.serebii.net/pokedex-sv/icon/new/907.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Protean']","['61', '80', '63', '60', '63', '83']"
#0908,Meowscarada,https://www.serebii.net/pokedex-sv/icon/new/908.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Overgrow', 'Protean']","['76', '110', '70', '81', '70', '123']"
#0909,Fuecoco,https://www.serebii.net/pokedex-sv/icon/new/909.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Blaze', 'Unaware']","['67', '45', '59', '63', '40', '36']"
#0910,Crocalor,https://www.serebii.net/pokedex-sv/icon/new/910.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Blaze', 'Unaware']","['81', '55', '78', '90', '58', '49']"
#0911,Skeledirge,https://www.serebii.net/pokedex-sv/icon/new/911.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Blaze', 'Unaware']","['104', '75', '100', '110', '75', '66']"
#0912,Quaxly,https://www.serebii.net/pokedex-sv/icon/new/912.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Moxie']","['55', '65', '45', '50', '45', '50']"
#0913,Quaxwell,https://www.serebii.net/pokedex-sv/icon/new/913.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Moxie']","['70', '85', '65', '65', '60', '65']"
#0914,Quaquaval,https://www.serebii.net/pokedex-sv/icon/new/914.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Torrent', 'Moxie']","['85', '120', '80', '85', '75', '85']"
#0915,Lechonk,https://www.serebii.net/pokedex-sv/icon/new/915.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Aroma Veil', 'Gluttony', 'Thick Fat']","['54', '45', '40', '35', '45', '35']"
#0916,Oinkologne,https://www.serebii.net/pokedex-sv/icon/new/916.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Lingering Aroma', 'Gluttony', 'Thick Fat']","['110', '100', '75', '59', '80', '65']"
#0917,Tarountula,https://www.serebii.net/pokedex-sv/icon/new/917.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Insomnia', 'Stakeout']","['35', '41', '45', '29', '40', '20']"
#0918,Spidops,https://www.serebii.net/pokedex-sv/icon/new/918.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Insomnia', 'Stakeout']","['60', '79', '92', '52', '86', '35']"
#0919,Nymble,https://www.serebii.net/pokedex-sv/icon/new/919.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Swarm', 'Tinted Lens']","['33', '46', '40', '21', '25', '45']"
#0920,Lokix,https://www.serebii.net/pokedex-sv/icon/new/920.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Swarm', 'Tinted Lens']","['71', '102', '78', '52', '55', '92']"
#0921,Pawmi,https://www.serebii.net/pokedex-sv/icon/new/921.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Static', 'Natural Cure', 'Iron Fist']","['45', '50', '20', '40', '25', '60']"
#0922,Pawmo,https://www.serebii.net/pokedex-sv/icon/new/922.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Volt Absorb', 'Natural Cure', 'Iron Fist']","['60', '75', '40', '50', '40', '85']"
#0923,Pawmot,https://www.serebii.net/pokedex-sv/icon/new/923.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Volt Absorb', 'Natural Cure', 'Iron Fist']","['70', '115', '70', '70', '60', '105']"
#0924,Tandemaus,https://www.serebii.net/pokedex-sv/icon/new/924.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Run Away', 'Pickup', 'Own Tempo']","['50', '50', '45', '40', '45', '75']"
#0925,Maushold,https://www.serebii.net/pokedex-sv/icon/new/925.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Friend Guard', 'Cheek Pouch', 'Technician']","['74', '75', '70', '65', '75', '111']"
#0926,Fidough,https://www.serebii.net/pokedex-sv/icon/new/926.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Own Tempo', 'Klutz']","['37', '55', '70', '30', '55', '65']"
#0927,Dachsbun,https://www.serebii.net/pokedex-sv/icon/new/927.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Well-Baked Body', 'Aroma Veil']","['57', '80', '115', '50', '80', '95']"
#0928,Smoliv,https://www.serebii.net/pokedex-sv/icon/new/928.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Early Bird', 'Harvest']","['41', '35', '45', '58', '51', '30']"
#0929,Dolliv,https://www.serebii.net/pokedex-sv/icon/new/929.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Early Bird', 'Harvest']","['52', '53', '60', '78', '78', '33']"
#0930,Arboliva,https://www.serebii.net/pokedex-sv/icon/new/930.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/normal.gif']","['Seed Sower', 'Harvest']","['78', '69', '90', '125', '109', '39']"
#0931,Squawkabilly,https://www.serebii.net/pokedex-sv/icon/new/931.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Intimidate', 'Hustle', 'Guts']","['82', '96', '51', '45', '51', '92']"
#0932,Nacli,https://www.serebii.net/pokedex-sv/icon/new/932.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],"['Purifying Salt', 'Sturdy', 'Clear Body']","['55', '55', '75', '35', '35', '25']"
#0933,Naclstack,https://www.serebii.net/pokedex-sv/icon/new/933.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],"['Purifying Salt', 'Sturdy', 'Clear Body']","['60', '60', '100', '35', '65', '35']"
#0934,Garganacl,https://www.serebii.net/pokedex-sv/icon/new/934.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],"['Purifying Salt', 'Sturdy', 'Clear Body']","['100', '100', '130', '45', '90', '35']"
#0935,Charcadet,https://www.serebii.net/pokedex-sv/icon/new/935.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Flash Fire', 'Flame Body']","['40', '50', '40', '50', '40', '35']"
#0936,Armarouge,https://www.serebii.net/pokedex-sv/icon/new/936.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Flash Fire', 'Weak Armor']","['85', '60', '100', '125', '80', '75']"
#0937,Ceruledge,https://www.serebii.net/pokedex-sv/icon/new/937.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Flash Fire', 'Weak Armor']","['75', '125', '80', '60', '100', '85']"
